country,club,club_id,club_url,club_country,competition_name,player_count,country_rank
Algeria,LOSC Lille,1082,https://www.transfermarkt.com/losc-lille/startseite/verein/1082,France,First Tier,2,1
Algeria,USM Alger,6772,https://www.transfermarkt.com/usm-algier/startseite/verein/6772,Algeria,First Tier,2,1
Algeria,Al-Ahli SFC,18487,https://www.transfermarkt.com/al-ahli-dschidda/startseite/verein/18487,Saudi Arabia,First Tier,1,3
Algeria,Al-Duhail SC,26091,https://www.transfermarkt.com/al-duhail-sc/startseite/verein/26091,Qatar,First Tier,1,3
Algeria,Al-Ittihad Club,8023,https://www.transfermarkt.com/al-ittihad-dschidda/startseite/verein/8023,Saudi Arabia,First Tier,1,3
Algeria,BSC Young Boys,452,https://www.transfermarkt.com/bsc-young-boys/startseite/verein/452,Switzerland,First Tier,1,3
Algeria,Bayer 04 Leverkusen,15,https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15,Germany,First Tier,1,3
Algeria,Borussia Dortmund,16,https://www.transfermarkt.com/borussia-dortmund/startseite/verein/16,Germany,First Tier,1,3
Algeria,ETO FC,6055,https://www.transfermarkt.com/eto-fc-gyor/startseite/verein/6055,Hungary,First Tier,1,3
Algeria,Eintracht Frankfurt,24,https://www.transfermarkt.com/eintracht-frankfurt/startseite/verein/24,Germany,First Tier,1,3
Algeria,Esperance Tunis,3342,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,Tunisia,First Tier,1,3
Algeria,FC Stade Nyonnais,5507,https://www.transfermarkt.com/fc-stade-nyonnais/startseite/verein/5507,Switzerland,Second Tier,1,3
Algeria,FC Twente Enschede,317,https://www.transfermarkt.com/fc-twente-enschede/startseite/verein/317,Netherlands,First Tier,1,3
Algeria,Feyenoord Rotterdam,234,https://www.transfermarkt.com/feyenoord-rotterdam/startseite/verein/234,Netherlands,First Tier,1,3
Algeria,Frosinone Calcio,8970,https://www.transfermarkt.com/frosinone-calcio/startseite/verein/8970,Italy,Second Tier,1,3
Algeria,Granada CF,16795,https://www.transfermarkt.com/fc-granada/startseite/verein/16795,Spain,Second Tier,1,3
Algeria,Hellas Verona,276,https://www.transfermarkt.com/hellas-verona/startseite/verein/276,Italy,First Tier,1,3
Algeria,JS Kabylie,13366,https://www.transfermarkt.com/js-kabylie/startseite/verein/13366,Algeria,First Tier,1,3
Algeria,Manchester City,281,https://www.transfermarkt.com/manchester-city/startseite/verein/281,England,First Tier,1,3
